,industry,job_title,description,job_link,job_id,most_advantage,Empl_type,company,city,mex
10,"Information Technology and Services, Hospitality","Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions)","Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a...",https://www.linkedin.com/jobs?viewJob=&jobId=59135436&trk=api*a130653*s139051*,1010,routine,full time,Cloudrevel,cairo,"Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions) Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a... routine full time Cloudrevel cairo"
11,Information Technology and Services,Frontend Developer,"What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme...",https://www.linkedin.com/jobs?viewJob=&jobId=41694880&trk=api*a130653*s139051*,1011,ease of work,full time,Dwellsmith,aswan,"Frontend Developer What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme... ease of work full time Dwellsmith aswan"
12,"Information Technology and Services, Hospitality","Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions)","Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a...",https://www.linkedin.com/jobs?viewJob=&jobId=59135436&trk=api*a130653*s139051*,1012,fair remuneration,full time,Hiphonic,aswan,"Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions) Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a... fair remuneration full time Hiphonic aswan"
13,Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",https://www.linkedin.com/jobs?viewJob=&jobId=43040933&trk=api*a130653*s139051*,1013,fair remuneration,full time,Excursy,suez,"Visual Designer SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also... fair remuneration full time Excursy suez"
14,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1014,ease of work,full time,InvestSpend,suez,"Full Stack Engineer Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q... ease of work full time InvestSpend suez"
15,Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",https://www.linkedin.com/jobs?viewJob=&jobId=43040933&trk=api*a130653*s139051*,1015,routine,full time,Conceptual,aswan,"Visual Designer SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also... routine full time Conceptual aswan"
16,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1016,routine,full time,Kiddily,aswan,"Full Stack Engineer Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q... routine full time Kiddily aswan"
17,Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",https://www.linkedin.com/jobs?viewJob=&jobId=43061632&trk=api*a130653*s139051*,1017,smoothness,full time,GameEight,cairo,"INFORMATION & VISUAL DESIGN CONSULTANT Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus... smoothness full time GameEight cairo"
18,Design,Graphic Designer,"                                           You are: A designer with a clean, minimalist sense of design who can work to a brief; Aware of the latest in UI/UX; Completely at home with web development technologies; Fanatical about detail; Needless to say, fluent in the use of the latest design software.   A typical workday might see you: Pull together a brand identity for an organisation; Work with...",https://www.linkedin.com/jobs?viewJob=&jobId=46397002&trk=api*a130653*s139051*,1018,fair remuneration,full time,Conceptual,aswan,"Graphic Designer                                            You are: A designer with a clean, minimalist sense of design who can work to a brief; Aware of the latest in UI/UX; Completely at home with web development technologies; Fanatical about detail; Needless to say, fluent in the use of the latest design software.   A typical workday might see you: Pull together a brand identity for an organisation; Work with... fair remuneration full time Conceptual aswan"
19,"Internet, Computer Software",Senior Developer ( Product Development) Mumbai,"    Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team....",https://www.linkedin.com/jobs?viewJob=&jobId=44974270&trk=api*a130653*s139051*,1019,fair remuneration,full time,Knowza,aswan,"Senior Developer ( Product Development) Mumbai     Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team.... fair remuneration full time Knowza aswan"
20,"Internet, Computer Software",Senior Developer ( Product Development) Mumbai,"    Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team....",https://www.linkedin.com/jobs?viewJob=&jobId=44974270&trk=api*a130653*s139051*,1020,creativity,full time,Digimail,al mansoura,"Senior Developer ( Product Development) Mumbai     Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team.... creativity full time Digimail al mansoura"
21,Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",https://www.linkedin.com/jobs?viewJob=&jobId=44955240&trk=api*a130653*s139051*,1021,employee first,part time,Jumpsync,cairo,"PreSales Manager – IOT-CE We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron... employee first part time Jumpsync cairo"
22,Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",https://www.linkedin.com/jobs?viewJob=&jobId=44266831&trk=api*a130653*s139051*,1022,creativity,full time,Branding,cairo,"Laravel Developer Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform.... creativity full time Branding cairo"
23,Computer Software,Crossover Front End Web Designer - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44967266&trk=api*a130653*s139051*,1023,ease of work,full time,Metricsilo,suez,"Crossover Front End Web Designer - $15/hr Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... ease of work full time Metricsilo suez"
24,Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",https://www.linkedin.com/jobs?viewJob=&jobId=44955240&trk=api*a130653*s139051*,1024,ease of work,full time,Kiddily,al mansoura,"PreSales Manager – IOT-CE We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron... ease of work full time Kiddily al mansoura"
25,Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",https://www.linkedin.com/jobs?viewJob=&jobId=44266831&trk=api*a130653*s139051*,1025,smoothness,full time,Digimail,cairo,"Laravel Developer Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform.... smoothness full time Digimail cairo"
26,Computer Software,Crossover Front End Web Designer - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44967266&trk=api*a130653*s139051*,1026,ease of work,full time,Dwellsmith,aswan,"Crossover Front End Web Designer - $15/hr Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... ease of work full time Dwellsmith aswan"
27,Computer Software,Crossover Software Engineer - PHP - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44971098&trk=api*a130653*s139051*,1027,employee first,full time,MetConnect,cairo,"Crossover Software Engineer - PHP - $15/hr Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... employee first full time MetConnect cairo"
28,Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",https://www.linkedin.com/jobs?viewJob=&jobId=43040825&trk=api*a130653*s139051*,1028,employee first,full time,SecuriToday,cairo,"Android Developer # What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea... employee first full time SecuriToday cairo"
29,Computer Software,Crossover Software Engineer - PHP - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44971098&trk=api*a130653*s139051*,1029,routine,full time,Formonix,alexandria,"Crossover Software Engineer - PHP - $15/hr Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good... routine full time Formonix alexandria"
30,Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",https://www.linkedin.com/jobs?viewJob=&jobId=43040825&trk=api*a130653*s139051*,1030,fair remuneration,full time,Conceptual,al mansoura,"Android Developer # What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea... fair remuneration full time Conceptual al mansoura"
31,Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*,1031,fair remuneration,full time,Hiphonic,suez,"Software Engineer Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m... fair remuneration full time Hiphonic suez"
32,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1032,routine,full time,Medicine,alexandria,"SEO Hacker DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education... routine full time Medicine alexandria"
33,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,1033,ease of work,full time,Seekingon,al mansoura,"Assitant Merchandiser ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass... ease of work full time Seekingon al mansoura"
34,Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*,1034,fair remuneration,full time,Seekingon,suez,"DSP Engineer Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m... fair remuneration full time Seekingon suez"
35,Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*,1035,fair remuneration,full time,Cloudrevel,alexandria,"Software Engineer Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m... fair remuneration full time Cloudrevel alexandria"
36,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1036,routine,full time,Jumpsync,aswan,"SEO Hacker DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education... routine full time Jumpsync aswan"
37,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,1037,employee first,full time,TechTack,suez,"Assitant Merchandiser ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass... employee first full time TechTack suez"
